Time,Load,Extension,Compressive strain (Extension),Compressive stress
"0.00","0.0","0.126","0.00000","0.00009"
"10.00","0.0","0.126","0.00000","0.00023"
"19.85","5.0","0.281","0.00155","0.02674"
"22.61","10.1","0.435","0.00309","0.05328"
"32.61","11.1","0.475","0.00349","0.05873"
"42.61","11.5","0.483","0.00358","0.06113"
"49.42","16.5","0.627","0.00501","0.08766"
"58.73","20.0","0.740","0.00615","0.10600"
"58.73","20.0","0.740","0.00615","0.10604"
"58.73","20.0","0.740","0.00615","0.10607"
"68.73","19.8","0.740","0.00615","0.10516"
"78.73","19.8","0.740","0.00615","0.10515"
"88.73","19.9","0.740","0.00615","0.10567"
"98.73","20.0","0.741","0.00615","0.10575"
"108.73","19.8","0.741","0.00615","0.10499"
"118.73","19.9","0.741","0.00615","0.10562"
"128.73","20.1","0.741","0.00615","0.10645"
"138.73","20.1","0.741","0.00615","0.10679"
"148.73","20.2","0.741","0.00615","0.10685"
"158.73","20.2","0.741","0.00615","0.10731"
"168.73","20.2","0.741","0.00615","0.10688"
"178.73","20.3","0.740","0.00615","0.10736"
"188.73","20.3","0.740","0.00615","0.10747"
"198.73","20.3","0.740","0.00615","0.10771"
"208.73","20.4","0.740","0.00615","0.10820"
"218.73","20.6","0.740","0.00615","0.10909"
"228.73","20.6","0.740","0.00615","0.10909"
"238.73","20.6","0.740","0.00614","0.10918"
"248.73","20.6","0.740","0.00614","0.10919"
"258.73","20.5","0.739","0.00613","0.10855"
"268.73","20.3","0.734","0.00609","0.10777"
"278.73","20.4","0.733","0.00608","0.10817"
"288.73","20.4","0.732","0.00606","0.10815"
"298.73","18.3","0.664","0.00539","0.09716"
"308.73","18.0","0.650","0.00524","0.09562"
"318.73","18.1","0.650","0.00524","0.09583"
"328.73","18.2","0.650","0.00525","0.09663"
"338.73","18.3","0.651","0.00525","0.09678"
"348.73","20.3","0.717","0.00592","0.10783"
"358.73","20.3","0.718","0.00593","0.10753"
"368.73","20.4","0.718","0.00593","0.10797"
"378.73","20.4","0.718","0.00593","0.10823"
"388.73","20.5","0.718","0.00592","0.10871"
"398.73","20.5","0.718","0.00592","0.10883"
"408.73","20.6","0.718","0.00592","0.10925"
"418.73","20.7","0.718","0.00592","0.10946"
"428.73","20.7","0.718","0.00592","0.10994"
"438.73","20.8","0.717","0.00592","0.11013"
"448.73","20.8","0.717","0.00592","0.11008"
"458.73","20.9","0.717","0.00591","0.11056"
"468.73","20.7","0.715","0.00590","0.10988"
"478.73","20.5","0.711","0.00585","0.10852"
"488.73","20.1","0.699","0.00573","0.10628"
"498.73","19.2","0.667","0.00542","0.10173"
"508.73","19.3","0.667","0.00541","0.10236"
"518.73","19.4","0.667","0.00541","0.10284"
"528.73","19.4","0.667","0.00542","0.10278"
"538.73","19.5","0.667","0.00542","0.10322"
"548.73","19.5","0.667","0.00542","0.10331"
"558.73","19.4","0.667","0.00542","0.10303"
"568.73","19.6","0.667","0.00542","0.10362"
"578.73","19.6","0.668","0.00542","0.10395"
"588.73","19.7","0.668","0.00542","0.10419"
"598.73","19.7","0.668","0.00542","0.10420"
"608.73","19.7","0.668","0.00542","0.10443"
"618.73","19.8","0.668","0.00542","0.10482"
"628.73","19.7","0.668","0.00543","0.10454"
"638.73","19.8","0.668","0.00543","0.10481"
"648.73","19.9","0.668","0.00543","0.10525"
"658.73","19.9","0.668","0.00543","0.10572"
"668.73","19.9","0.668","0.00543","0.10549"
"678.73","20.0","0.668","0.00543","0.10594"
"688.73","20.1","0.668","0.00543","0.10630"
"698.73","20.1","0.668","0.00543","0.10653"
"708.73","20.1","0.668","0.00543","0.10655"
"718.73","20.1","0.668","0.00543","0.10644"
"728.73","20.2","0.668","0.00543","0.10713"
"738.73","20.2","0.668","0.00543","0.10701"
"748.73","20.2","0.668","0.00543","0.10731"
"758.73","20.3","0.668","0.00543","0.10772"
"768.73","20.3","0.668","0.00543","0.10733"
"778.73","20.3","0.668","0.00543","0.10747"
